quarter,wage_sa,cpi_all,cpi_rent,date,real_wage,wage_to_rent,wage_index_2015=100,rent_index_2015=100,cpi_all_index_2015=100,real_wage_index_2015=100,wage_to_rent_index_2015=100,wage_sa_yoy_pct,cpi_rent_yoy_pct
1990Q1,536.341246915213,130.1,149.5,1990-03-31,4.122530721869431,3.5875668689980804,100.0,100.0,100.0,100.0,100.0,,
1990Q3,549.548311579907,134.0,152.5,1990-09-30,4.101106802835127,3.603595485769882,102.46243687962746,102.0066889632107,102.99769408147579,99.4803211793995,100.44678238363478,,
1991Q1,561.685741525699,136.5,155.1,1991-03-31,4.114913857331128,3.621442563028362,104.72544201219947,103.7458193979933,104.91929285165259,99.81523813763482,100.94425261653011,,
1991Q3,582.43968884367,139.4,157.7,1991-09-30,4.178190020399354,3.693339815115219,108.59498354705961,105.48494983277592,107.14834742505765,101.35012452993153,102.94831984962217,,
1992Q1,602.665152757684,141.4,158.9,1992-03-31,4.2621297931943705,3.79273223887781,112.36599016464528,106.2876254180602,108.68562644119908,103.38624696195437,105.71878873262723,12.365990164645279,6.287625418060205
1992Q3,616.512411520905,143.6,161.2,1992-09-30,4.293261918669255,3.8245186818914703,114.94779024861495,107.82608695652173,110.37663335895465,104.14141720992203,106.60480547250579,12.18529809480835,5.7049180327868765
1993Q1,596.601465686007,146.0,163.5,1993-03-31,4.0863114088082675,3.6489386280489726,111.23542504280306,109.36454849498327,112.22136817832438,99.12143012375807,101.71067916757832,6.216238294649767,5.415860735009681
1993Q3,627.746581315466,146.7,165.2,1993-09-30,4.279117800378091,3.7999187730960413,117.04238391620525,110.50167224080268,112.75941583397386,103.79832411382621,105.91910651012522,7.778812697627924,4.755865567533291
1994Q1,633.261506577729,147.9,166.6,1994-03-31,4.281686995116491,3.801089475256477,118.07063324328617,111.43812709030101,113.68178324365874,103.86064492867837,105.95173871471357,5.076841373695129,4.8458149779735615
1994Q3,665.8577273533159,149.4,168.4,1994-09-30,4.456879031816037,3.954024509223966,124.14814843777573,112.64214046822742,114.8347425057648,108.11026848564005,110.21465671880921,8.003945242672184,4.466501240694809
1995Q1,668.3157893172049,151.1,169.0,1995-03-31,4.423003238366677,3.9545312977349405,124.60645030771893,113.04347826086956,116.14142966948502,107.28854523517029,110.22878296452059,12.020473927052233,3.3639143730886945
1995Q3,678.927528971138,152.1,170.9,1995-09-30,4.463691840704392,3.972659619491738,126.58499283357665,114.31438127090301,116.91006917755573,108.2755264145189,110.7340926191908,8.153122482709584,3.4503631961259273
